FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,LBH,LBD,LBA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,Season,TotalGoals,GoalDiff,Over2.5,BTTS,Home_xG,Away_xG,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,Homecum_Form,Homecum_GF,Homecum_GA,Homecum_xG,Homecum_xGA,Homecum_Shots,Homecum_ShotsAgainst,Homecum_SOT,Homecum_SOTAgainst,Homecum_Corners,Homecum_CornersAgainst,Homecum_Fouls,Homecum_FoulsAgainst,Homecum_Yellows,Homecum_Reds,Homeseason_progress,Homeform_vs_season,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,Awaycum_Form,Awaycum_GF,Awaycum_GA,Awaycum_xG,Awaycum_xGA,Awaycum_Shots,Awaycum_ShotsAgainst,Awaycum_SOT,Awaycum_SOTAgainst,Awaycum_Corners,Awaycum_CornersAgainst,Awaycum_Fouls,Awaycum_FoulsAgainst,Awaycum_Yellows,Awaycum_Reds,Awayseason_progress,Awayform_vs_season,HomexG_5_missing,HomexGA_5_missing,Homecum_xG_missing,Homecum_xGA_missing,AwayxG_5_missing,AwayxGA_5_missing,Awaycum_xG_missing,Awaycum_xGA_missing,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,temperature,precipitation,rain,wind_speed,humidity,stadium_lat,stadium_lon,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
0.0,1.0,0.0,1.0,5.0,9.0,1.0,2.0,14.0,10.0,3.0,5.0,2.0,2.0,0.0,0.0,5.5,3.6,1.73,42.0,6.0,5.37,4.0,3.67,1.76,1.71,40.0,2.19,2.11,1.79,1.71,1516,1.0,-1.0,0,0,0.219118,0.660404,3.0,1.0,0.0,0.782253,0.876106,7.0,11.0,3.0,2.0,3.0,6.0,13.0,13.0,4.0,0.0,3.0,1.0,0.0,0.782253,0.876106,7.0,11.0,3.0,2.0,3.0,6.0,13.0,13.0,4.0,0.0,0.02631578947368421,0.0,3.0,1.0,0.0,0.627539,0.6746,9.0,9.0,1.0,4.0,1.0,2.0,12.0,12.0,2.0,0.0,3.0,1.0,0.0,0.627539,0.6746,9.0,9.0,1.0,4.0,1.0,2.0,12.0,12.0,2.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.690909090909091,0.20606060606060606,0.6629370629370629,15.2,1.5,1.5,11.3,97.0,52.5092,-1.8846,2,0,0,0,1
0.0,3.0,0.0,2.0,17.0,10.0,4.0,4.0,11.0,10.0,9.0,9.0,4.0,2.0,0.0,0.0,2.0,3.3,4.33,45.0,2.1,1.95,3.68,3.45,4.5,4.09,43.0,2.23,2.16,1.76,1.68,1516,3.0,-3.0,1,0,1.06214,1.39628,1.0,2.0,2.0,1.2529,1.54613,15.0,9.0,5.0,4.0,6.0,6.0,12.0,9.0,4.0,0.0,1.0,2.0,2.0,1.2529,1.54613,15.0,9.0,5.0,4.0,6.0,6.0,12.0,9.0,4.0,0.0,0.02631578947368421,0.0,1.0,2.0,2.0,0.604226,0.557892,10.0,11.0,5.0,5.0,8.0,2.0,7.0,13.0,1.0,0.0,1.0,2.0,2.0,0.604226,0.557892,10.0,11.0,5.0,5.0,8.0,2.0,7.0,13.0,1.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.262948207171315,0.15139442231075698,0.5718663806313209,18.1,0.0,0.0,14.3,53.0,50.9058,-1.391,2,1,0,0,1
1.0,3.0,0.0,2.0,6.0,19.0,2.0,6.0,7.0,7.0,6.0,6.0,1.0,2.0,0.0,0.0,2.4,3.3,3.1,45.0,2.6,2.47,3.4,3.2,3.2,3.01,43.0,2.37,2.26,1.69,1.63,1516,4.0,-2.0,1,1,0.329128,1.71686,0.0,2.0,4.0,1.45946,2.56803,10.0,19.0,5.0,8.0,3.0,6.0,17.0,13.0,4.0,0.0,0.0,2.0,4.0,1.45946,2.56803,10.0,19.0,5.0,8.0,3.0,6.0,17.0,13.0,4.0,0.0,0.02631578947368421,0.0,0.0,1.0,3.0,1.13076,2.10975,17.0,11.0,6.0,7.0,1.0,4.0,14.0,20.0,1.0,0.0,0.0,1.0,3.0,1.13076,2.10975,17.0,11.0,6.0,7.0,1.0,4.0,14.0,20.0,1.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.9779411764705883,0.11764705882352941,0.5124434389140272,16.2,0.0,0.0,19.1,54.0,54.9144,-1.3881,2,1,1,0,0
2.0,0.0,1.0,0.0,19.0,4.0,6.0,2.0,11.0,8.0,4.0,4.0,2.0,1.0,0.0,1.0,1.95,3.5,4.2,45.0,2.01,1.92,3.7,3.51,4.33,4.11,44.0,2.01,1.94,1.96,1.86,1516,2.0,2.0,0,0,1.97424,0.113109,1.0,2.0,2.0,2.59203,0.64396,18.0,11.0,10.0,3.0,8.0,4.0,16.0,15.0,3.0,0.0,1.0,2.0,2.0,2.59203,0.64396,18.0,11.0,10.0,3.0,8.0,4.0,16.0,15.0,3.0,0.0,0.02631578947368421,0.0,1.0,2.0,2.0,1.54613,1.2529,9.0,15.0,4.0,5.0,6.0,6.0,9.0,12.0,2.0,0.0,1.0,2.0,2.0,1.54613,1.2529,9.0,15.0,4.0,5.0,6.0,6.0,9.0,12.0,2.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.125,0.1,0.5269230769230769,15.4,0.0,0.0,17.0,63.0,51.6422,-3.9344,0,1,0,1,0
2.0,2.0,2.0,0.0,13.0,16.0,7.0,7.0,15.0,11.0,4.0,3.0,2.0,2.0,0.0,0.0,1.8,3.75,4.75,45.0,1.84,1.77,3.93,3.66,5.1,4.8,44.0,2.0,1.93,1.94,1.87,1516,4.0,0.0,1,1,1.70614,2.80956,0.0,0.0,1.0,0.6746,0.627539,9.0,9.0,4.0,1.0,2.0,1.0,12.0,12.0,3.0,0.0,0.0,0.0,1.0,0.6746,0.627539,9.0,9.0,4.0,1.0,2.0,1.0,12.0,12.0,3.0,0.0,0.02631578947368421,0.0,0.0,0.0,1.0,0.381274,0.329873,7.0,8.0,1.0,3.0,3.0,5.0,9.0,16.0,2.0,0.0,0.0,0.0,1.0,0.381274,0.329873,7.0,8.0,1.0,3.0,3.0,5.0,9.0,16.0,2.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.8260869565217392,0.17391304347826086,0.5150501672240803,19.7,0.0,0.0,12.3,48.0,51.6042,-0.0662,1,1,1,0,0
0.0,0.0,0.0,0.0,16.0,6.0,5.0,0.0,13.0,10.0,2.0,4.0,1.0,2.0,0.0,0.0,2.3,3.4,3.2,45.0,2.4,2.25,3.51,3.3,3.54,3.33,43.0,2.22,2.12,1.78,1.71,1516,0.0,0.0,0,0,0.760848,0.684036,1.0,2.0,2.0,0.557892,0.604226,11.0,10.0,5.0,5.0,2.0,8.0,13.0,7.0,2.0,0.0,1.0,2.0,2.0,0.557892,0.604226,11.0,10.0,5.0,5.0,2.0,8.0,13.0,7.0,2.0,0.0,0.02631578947368421,0.0,0.0,0.0,3.0,0.435238,1.9242,9.0,19.0,2.0,7.0,6.0,6.0,12.0,9.0,4.0,0.0,0.0,0.0,3.0,0.435238,1.9242,9.0,19.0,2.0,7.0,6.0,6.0,12.0,9.0,4.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.436046511627907,0.09883720930232558,0.5742397137745975,18.8,0.0,0.0,14.2,47.0,51.65,-0.4017,1,0,0,1,1
1.0,2.0,0.0,2.0,10.0,11.0,3.0,6.0,11.0,12.0,8.0,4.0,1.0,3.0,1.0,0.0,2.25,3.4,3.3,45.0,2.35,2.25,3.52,3.36,3.5,3.27,44.0,1.97,1.9,2.0,1.9,1516,3.0,-1.0,1,1,0.513491,1.80939,3.0,2.0,0.0,0.535961,1.33166,8.0,22.0,4.0,6.0,4.0,5.0,9.0,12.0,3.0,0.0,3.0,2.0,0.0,0.535961,1.33166,8.0,22.0,4.0,6.0,4.0,5.0,9.0,12.0,3.0,0.0,0.02631578947368421,0.0,3.0,4.0,2.0,2.56803,1.45946,19.0,10.0,8.0,5.0,6.0,3.0,13.0,17.0,2.0,0.0,3.0,4.0,2.0,2.56803,1.45946,19.0,10.0,8.0,5.0,6.0,3.0,13.0,17.0,2.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.4943396226415095,0.12452830188679245,0.5950653120464442,19.8,0.0,0.0,12.3,49.0,51.5387,-0.0166,2,1,0,0,0
1.0,2.0,1.0,1.0,11.0,20.0,4.0,7.0,14.0,12.0,6.0,6.0,1.0,1.0,0.0,0.0,5.0,3.75,1.75,45.0,5.5,5.0,4.2,3.78,1.8,1.71,44.0,1.9,1.84,2.03,1.96,1516,3.0,-1.0,1,1,0.964134,2.05542,3.0,3.0,1.0,2.10975,1.13076,11.0,17.0,7.0,6.0,4.0,1.0,20.0,14.0,0.0,0.0,3.0,3.0,1.0,2.10975,1.13076,11.0,17.0,7.0,6.0,4.0,1.0,20.0,14.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,2.0,1.33166,0.535961,22.0,8.0,6.0,4.0,5.0,4.0,12.0,9.0,1.0,0.0,0.0,0.0,2.0,1.33166,0.535961,22.0,8.0,6.0,4.0,5.0,4.0,12.0,9.0,1.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.813953488372093,0.08139534883720931,0.4704830053667263,17.6,0.0,0.0,4.0,61.0,51.3984,-0.0855,2,1,0,0,0
3.0,0.0,1.0,0.0,18.0,10.0,8.0,3.0,19.0,13.0,5.0,1.0,4.0,2.0,0.0,0.0,2.1,3.4,3.75,43.0,2.17,2.09,3.56,3.4,3.9,3.66,42.0,2.05,1.98,1.88,1.82,1516,3.0,3.0,1,0,2.18579,0.482423,3.0,3.0,0.0,1.9242,0.435238,19.0,9.0,7.0,2.0,6.0,6.0,9.0,12.0,1.0,0.0,3.0,3.0,0.0,1.9242,0.435238,19.0,9.0,7.0,2.0,6.0,6.0,9.0,12.0,1.0,0.0,0.02631578947368421,0.0,1.0,2.0,2.0,0.64396,2.59203,11.0,18.0,3.0,10.0,4.0,8.0,15.0,16.0,1.0,1.0,1.0,2.0,2.0,0.64396,2.59203,11.0,18.0,3.0,10.0,4.0,8.0,15.0,16.0,1.0,1.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.9941176470588236,0.09411764705882353,0.5040723981900452,17.3,0.0,0.0,3.3,59.0,53.4831,-2.2004,0,1,0,1,0
1.0,0.0,1.0,0.0,18.0,13.0,2.0,2.0,11.0,18.0,6.0,8.0,1.0,4.0,0.0,0.0,1.45,4.5,7.5,43.0,1.5,1.44,5.0,4.46,8.6,7.71,42.0,1.83,1.75,2.2,2.05,1516,1.0,1.0,0,0,2.15062,0.460805,3.0,1.0,0.0,0.329873,0.381274,8.0,7.0,3.0,1.0,5.0,3.0,16.0,9.0,4.0,0.0,3.0,1.0,0.0,0.329873,0.381274,8.0,7.0,3.0,1.0,5.0,3.0,16.0,9.0,4.0,0.0,0.02631578947368421,0.0,0.0,0.0,1.0,0.876106,0.782253,11.0,7.0,2.0,3.0,6.0,3.0,13.0,13.0,3.0,0.0,0.0,0.0,1.0,0.876106,0.782253,11.0,7.0,2.0,3.0,6.0,3.0,13.0,13.0,3.0,0.0,0.02631578947368421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.702830188679245,0.12735849056603774,0.6284470246734397,17.2,0.0,0.0,15.7,63.0,53.4308,-2.9608,0,0,0,1,0
