year,deep,deep_allowed,xpts,wins,draws,loses,pts,ppda_coef,oppda_coef,xG_diff,xGA_diff,xpts_diff,league_encoded,h_a_encoded,rolling_xG,rolling_xGA,rolling_npxG,rolling_scored,rolling_missed,rolling_deep,rolling_deep_allowed,rolling_ppda_coef,rolling_oppda_coef,rolling_ppda_att,rolling_ppda_def,rolling_oppda_att,rolling_oppda_def,goal_difference,xG_difference,npxG_difference,result_encoded,scored,missed,xG,xGA
-1.4585476563406212,-0.19934367439740192,2.2709701731892578,-0.05009294672910459,1.2941937355675475,-0.580920573392905,-0.7726818423838734,1.2365442105940445,0.14954281892501228,-0.6566510333575349,-1.0063625496182667,1.1241638945088113,-1.585625669614648,1.4879914064727164,1.0,0.0,-5.021960551126351e-16,0.0,-3.2770972632185345e-16,3.636277980220769e-16,0.0,4.1480404620963603e-16,1.0016466671555376e-15,-8.874667311696824e-16,0.0,0.0,-8.833728162108261e-16,0.0,1.0807281759785867,-0.02050874538311587,-0.02227793128617509,2,3,1,2.01129,2.03815
-1.4585476563406212,-0.9404378286733999,0.541750479878596,1.6679375812468489,1.2941937355675475,-0.580920573392905,-0.7726818423838734,1.2365442105940445,0.5976917544585462,0.10287659786019543,-1.2516475449988325,-2.66833000706936,-0.23984970260798927,1.4879914064727164,-1.0,1.4276774850449605,1.6563627238169503,0.12382612185286572,2.449319885529414,-0.5516124970499185,-0.29580690888995487,4.303179478465278,0.26731518763790857,-1.0038596492633185,0.6936750112333167,-0.32658610959560824,0.008542340050775409,2.455130128593318,0.5403640879892934,1.792606365346616,1.315816235627414,2,5,4,3.77794,1.43019
-1.4585476563406212,-0.4463750591560679,1.282844634154594,-1.230085649663408,-0.7726818423838734,-0.580920573392905,1.2941937355675475,-1.0446789284118556,-0.03483927504960797,-0.61184009173483,0.3287372925830866,0.49656646857386133,0.3428887884757301,1.4879914064727164,1.0,3.222136469965876,0.9688542077479361,2.0493501416061126,3.9251932868782,1.9048385264607506,-0.8528292985707314,2.668582049016474,0.6566931289354844,-0.41916370085858495,0.43759370730267755,-1.0287893123341318,0.4747561079315921,1.413364158733998,-0.5403640879892934,-0.8854517199262923,-0.9618351686194923,1,0,1,0.281427,1.44109
-1.4585476563406212,-0.4463750591560679,0.541750479878596,-1.2271720874339407,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,-0.9658804496857885,-0.19888408660835113,-1.456936422641106,0.06871837913845671,-0.6057729587584716,1.4879914064727164,-1.0,1.452588196534045,0.7479021759371739,0.7037318524174219,1.957362085079818,1.0860215186238609,-0.790937921939534,2.5907440761855787,0.4200992014710191,-0.591064919700999,0.7932621849841212,-0.32658610959560824,0.1846675412501952,1.3747802339243933,0.0,-1.1082205221132513,-1.203821110475805,0,2,2,0.58264,2.03406
-1.4585476563406212,-0.19934367439740192,-1.187469213432066,-0.41538081124858184,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,-0.5206058207848547,0.08926150587934022,-0.09668159769086757,0.17008041944078334,0.030123302644405856,1.4879914064727164,-1.0,0.7207912692894407,0.9727047349161958,0.19507318091110637,1.7113831848550205,1.0860215186238609,-0.7599922336239353,2.2015542120311014,-0.10266920813390593,-0.5180656152923824,0.400248517146126,0.7267186945121771,0.26107479765288444,1.239736497090778,0.0,-0.19377328446827594,-0.2104891272400619,0,1,1,0.876708,1.13049
-1.4585476563406212,0.04768771036126406,-0.6934064439147339,0.9813080825023609,1.2941937355675475,-0.580920573392905,-0.7726818423838734,1.2365442105940445,-1.0052878852065965,-0.6450619967309733,-0.38654360650232705,0.6134139965639811,-0.7777036362844777,1.4879914064727164,1.0,0.40119189250347903,0.6988672296664096,0.01808333785579774,1.2686211644503849,0.7584947154891051,-0.6671551686771392,1.3142013217588928,-0.26157802349642634,-0.3855384848643255,0.053471751406718934,0.5160577336906204,0.24786540756292808,0.8809059963614566,1.0807281759785867,0.8007252518906467,0.8697997760219343,2,2,0,1.60095,0.552252
-1.4585476563406212,-0.19934367439740192,-0.4463750591560679,0.6543821206708711,1.2941937355675475,-0.580920573392905,-0.7726818423838734,1.2365442105940445,-0.24033717915720584,-0.03386628246926712,-0.8300853105982496,0.587343465364372,-1.0337928589490433,1.4879914064727164,-1.0,0.23447221404482643,0.02673911004675243,0.17109200623325785,0.9734464841806272,0.4309679123543493,-0.5928855167197022,0.19333451299399862,-0.6629317400564414,-0.381969918043076,-0.6251437040094748,0.5628712805398551,0.406378088642406,1.2050109647621343,1.0807281759785867,0.49747833086058335,0.5403932743929436,2,3,1,2.17899,1.52745
-1.4585476563406212,-0.4463750591560679,-0.19934367439740192,0.5290989448037723,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,0.12367743283094726,-0.4458754297119456,-0.11709591050546353,-0.6401505273529078,0.7699577446534366,1.4879914064727164,1.0,-0.415175468051638,0.07073350327846055,-0.19409978504318212,0.38309712364111276,-0.5516124970499185,-0.3700765608473918,-0.18028775659429946,-0.9541831121304356,-0.42407661953260234,-0.6379477692060067,0.9841932021829694,0.2385411322053118,1.066108835447558,0.0,0.37994168792330424,0.41271733878353783,0,1,1,0.857287,0.359683
-1.4585476563406212,0.541750479878596,1.5298760189132599,-1.2177030101881716,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,-0.27653063200631384,0.16477988273315225,-0.4929479957347615,1.0089267226914924,-0.598355595458124,1.4879914064727164,-1.0,-0.1812056039457747,-0.41842796907935587,0.05695894464636706,0.6782718039108699,-0.5516124970499185,-0.3700765608473918,-0.7407211609767468,-0.8990916865066595,-0.3729717688466248,-0.7659884211713263,0.7501254679367949,0.38462144614130067,1.1587102549906083,0.0,-1.0909469053298473,-1.185057385997505,0,1,1,0.499723,1.92852
-1.4585476563406212,-0.4463750591560679,-0.9404378286733999,-0.5375076280337577,-0.7726818423838734,-0.580920573392905,1.2941937355675475,-1.0446789284118556,-0.8017286029789357,0.5087424898095009,1.2118715440247936,-0.33428061112918916,0.8854023478152571,1.4879914064727164,1.0,-0.214894485309415,-0.46616772089587233,0.02080946961829015,0.38309712364111276,-0.8791393001846743,-0.07299795301764442,-0.3670988913884487,-0.6595127505242867,-0.2609901419958137,-0.6507518344025385,0.001108718349035749,0.4685399243598482,1.019808125676033,-1.0807281759785867,-0.4039749444266159,-0.43882382296684547,1,0,2,1.12159,1.65067
