Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,League,Season,Result,TotalGoals,GoalDiff,Over2.5,BTTS,Home_xG,Away_xG,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,Homecum_Form,Homecum_GF,Homecum_GA,Homecum_xG,Homecum_xGA,Homecum_Shots,Homecum_ShotsAgainst,Homecum_SOT,Homecum_SOTAgainst,Homecum_Corners,Homecum_CornersAgainst,Homecum_Fouls,Homecum_FoulsAgainst,Homecum_Yellows,Homecum_Reds,Homeseason_progress,Homeform_vs_season,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,Awaycum_Form,Awaycum_GF,Awaycum_GA,Awaycum_xG,Awaycum_xGA,Awaycum_Shots,Awaycum_ShotsAgainst,Awaycum_SOT,Awaycum_SOTAgainst,Awaycum_Corners,Awaycum_CornersAgainst,Awaycum_Fouls,Awaycum_FoulsAgainst,Awaycum_Yellows,Awaycum_Reds,Awayseason_progress,Awayform_vs_season,HomexG_5_missing,HomexGA_5_missing,Homecum_xG_missing,Homecum_xGA_missing,AwayxG_5_missing,AwayxGA_5_missing,Awaycum_xG_missing,Awaycum_xGA_missing,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
D1,2022-08-06,14:30,Bochum,Mainz,1,2,A,1.0,1.0,D,16.0,13.0,3.0,6.0,11.0,16.0,3.0,5.0,2.0,3.0,0.0,0.0,Bundesliga,2223,A,3,-1,1,1,,,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,0,0,0
D1,2022-08-06,14:30,M'gladbach,Hoffenheim,3,1,H,1.0,1.0,D,18.0,2.0,8.0,1.0,18.0,12.0,4.0,2.0,1.0,4.0,0.0,1.0,Bundesliga,2223,H,4,2,1,1,,,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,1,1,0,0
D1,2022-08-06,14:30,Union Berlin,Hertha,3,1,H,1.0,0.0,H,18.0,9.0,8.0,3.0,23.0,17.0,5.0,4.0,2.0,3.0,0.0,0.0,Bundesliga,2223,H,4,2,1,1,,,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,1,1,0,0
D1,2022-08-06,14:30,Wolfsburg,Werder Bremen,2,2,D,1.0,2.0,A,13.0,10.0,3.0,5.0,11.0,14.0,2.0,5.0,2.0,2.0,0.0,0.0,Bundesliga,2223,D,4,0,1,1,0.954909,1.04228,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,1,1,1,0,0
D1,2022-08-06,17:30,Dortmund,Leverkusen,1,0,H,1.0,0.0,H,13.0,8.0,4.0,3.0,14.0,13.0,3.0,3.0,2.0,4.0,0.0,1.0,Bundesliga,2223,H,1,1,0,0,,,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,0,0,1,0
F1,2022-08-06,16:00,Strasbourg,Monaco,1,2,A,0.0,1.0,A,11.0,24.0,7.0,11.0,18.0,15.0,3.0,7.0,0.0,2.0,0.0,0.0,Ligue_1,2223,A,3,-1,1,1,1.39118,2.47965,1.4,1.4,1.4,1.4679912,1.4350567500000002,12.2,12.4,4.4,4.6,4.5,4.6,12.4,12.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.476141,1.4385574,12.4,12.2,4.6,4.5,4.6,4.6,12.4,12.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,0,0,0
F1,2022-08-06,20:00,Clermont,Paris SG,0,5,A,0.0,3.0,A,7.0,18.0,1.0,12.0,13.0,13.0,0.0,6.0,2.0,1.0,0.0,0.0,Ligue_1,2223,A,5,-5,1,0,,,1.4,1.4,1.4,1.4679912,1.4350567500000002,12.2,12.4,4.4,4.6,4.5,4.6,12.4,12.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.476141,1.4385574,12.4,12.2,4.6,4.5,4.6,4.6,12.4,12.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,1,0,1
E0,2022-08-07,14:00,Leicester City,Brentford,2,2,D,1.0,0.0,H,14.0,8.0,5.0,3.0,6.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,Premier_League,2223,D,4,0,1,1,0.455695,0.931067,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.849056603773585,0.03773584905660377,0.6095791001451378,1,1,1,0,0
E0,2022-08-07,14:00,Manchester United,Brighton and Hove Albion,1,2,A,0.0,2.0,A,17.0,15.0,5.0,4.0,7.0,12.0,6.0,2.0,4.0,1.0,0.0,0.0,Premier_League,2223,A,3,-1,1,1,1.42103,1.7289,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.6363636363636362,0.09090909090909091,0.6013986013986015,2,1,0,0,0
E0,2022-08-07,16:30,West Ham United,Manchester City,0,2,A,0.0,1.0,A,6.0,14.0,1.0,2.0,8.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,Premier_League,2223,A,2,-2,0,0,0.246188,2.58739,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.6582278481012658,0.13924050632911392,0.6270691333982474,2,1,0,0,1
